Frequency,kV,aV
1,0.0000308,0.8592
1.5,0.0000574,0.8957
2,0.0000998,0.949
2.5,0.0001464,1.0085
3,0.0001942,1.0688
3.5,0.0002346,1.1387
4,0.0002461,1.2476
4.5,0.0002347,1.3987
5,0.0002428,1.5317
5.5,0.0003115,1.5882
6,0.0004878,1.5728
7,0.001425,1.4745
8,0.00345,1.3797
9,0.006691,1.2895
10,0.01129,1.2156
11,0.01731,1.1617
12,0.02455,1.1216
13,0.03266,1.0901
14,0.04126,1.0646
15,0.05008,1.044
16,0.05899,1.0273
17,0.06797,1.0137
18,0.07708,1.0025
19,0.08642,0.993
20,0.09611,0.9847
21,0.1063,0.9771
22,0.117,0.97
23,0.1284,0.963
24,0.1404,0.9561
25,0.1533,0.9491
26,0.1669,0.9421
27,0.1813,0.9349
28,0.1964,0.9277
29,0.2124,0.9203
30,0.2291,0.9129
31,0.2465,0.9055
32,0.2646,0.8981
33,0.2833,0.8907
34,0.3026,0.8834
35,0.3224,0.8761
36,0.3427,0.869
37,0.3633,0.8621
38,0.3844,0.8552
39,0.4058,0.8486
40,0.4274,0.8421
41,0.4492,0.8357
42,0.4712,0.8296
43,0.4932,0.8236
44,0.5153,0.8179
45,0.5375,0.8123
46,0.5596,0.8069
47,0.5817,0.8017
48,0.6037,0.7967
49,0.6255,0.7918
50,0.6472,0.7871
51,0.6687,0.7826
52,0.6901,0.7783
53,0.7112,0.7741
54,0.7321,0.77
55,0.7527,0.7661
56,0.773,0.7623
57,0.7931,0.7587
58,0.8129,0.7552
59,0.8324,0.7518
60,0.8515,0.7486
61,0.8704,0.7454
62,0.8889,0.7424
63,0.9071,0.7395
64,0.925,0.7366
65,0.9425,0.7339
66,0.9598,0.7313
67,0.9767,0.7287
68,0.9932,0.7262
69,1.0094,0.7238
70,1.0253,0.7215
71,1.0409,0.7193
72,1.0561,0.7171
73,1.0711,0.715
74,1.0857,0.713
75,1.1,0.711
76,1.1139,0.7091
77,1.1276,0.7073
78,1.141,0.7055
79,1.1541,0.7038
80,1.1668,0.7021
81,1.1793,0.7004
82,1.1915,0.6988
83,1.2034,0.6973
84,1.2151,0.6958
85,1.2265,0.6943
86,1.2376,0.6929
87,1.2484,0.6915
88,1.259,0.6902
89,1.2694,0.6889
90,1.2795,0.6876
91,1.2893,0.6864
92,1.2989,0.6852
93,1.3083,0.684
94,1.3175,0.6828
95,1.3265,0.6817
96,1.3352,0.6806
97,1.3437,0.6796
98,1.352,0.6785
99,1.3601,0.6775
100,1.368,0.6765
120,1.4911,0.6609
150,1.5896,0.6466
200,1.6443,0.6343
300,1.6286,0.6262
400,1.582,0.6256
500,1.5366,0.6272
600,1.4967,0.6293
700,1.4622,0.6315
800,1.4321,0.6334
900,1.4056,0.6351
1000,1.3822,0.6365
