MODCOD,10M,5M,2.5M,1.25M,625K,312.5K
X4|BPSK|1/3,2.8,2.8,2.8,2.9,0,0
X4|BPSK|1/2,3.1,3.1,3.2,3.2,0,0
X4|BPSK|2/3,3.8,3.8,3.9,3.9,0,0
X2|BPSK|1/3,2.7,2.7,2.7,2.7,2.7,0
X2|BPSK|1/2,3,3,3,3,3.1,0
X2|BPSK|2/3,3.7,3.7,3.7,3.7,3.7,0
X1|BPSK|1/3,2.6,2.6,2.6,2.6,2.7,2.7
X1|BPSK|1/2,2.8,2.8,2.8,2.8,2.9,2.9
X1|BPSK|2/3,3.5,3.5,3.5,3.5,3.6,3.6
X1|QPSK|1/2HE,2.9,2.9,2.9,2.9,2.9,2.9
X1|QPSK|1/2,2.9,2.9,2.9,3,3.1,3.3
X1|QPSK|2/3,3.5,3.5,3.5,3.6,3.7,3.7
X1|QPSK|3/4,4.1,4.1,4.1,4.2,4.4,4.4
X1|QPSK|6/7,5.7,5.7,5.7,5.8,5.9,6
X1|8PSK|3/4HE,6.9,6.9,6.9,6.9,6.9,6.9
X1|8PSK|3/4,6.7,6.7,6.7,6.7,6.9,6.9
X1|8PSK|4/5,7.5,7.5,7.5,7.5,7.9,7.9
X1|8PSK|6/7,8.8,8.8,8.8,8.8,9.1,9.2
